"Source:","/home/david/ThereMin/PCB/Digital Theremin.kicad_sch"
"Date:","Tue 04 Jul 2023 15:31:06 BST"
"Tool:","Eeschema 6.0.11-3.fc37"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PN"
"","","ANT1","Antenna","Device:Antenna","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","PRT-09739"
"","","ANT2","Antenna","Device:Antenna","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","PRT-09739"
"","","C1",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C2",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C3",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C4","1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C5",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C6","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","ESK107M016AC3AA"
"","","C7","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","ESK107M016AC3AA"
"","","C8","470u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","860010273011"
"","","C9",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C10",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C12",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C13",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C14",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C15",".1u","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","C16","DNF","Device:C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~",""
"","","D1","DNF","Device:LED","LED_THT:LED_D5.0mm","~",""
"","","D2","DNF","Device:LED","LED_THT:LED_D5.0mm","~",""
"","","D3","DNF","Device:LED","LED_THT:LED_D5.0mm","~",""
"","","D4","D_Zener 12V","Device:D_Zener","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~",""
"","","D5","D","Device:D_Schottky","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~",""
"","","D6","D","Device:D_Schottky","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~",""
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.7mm_Pad","~",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.7mm_Pad","~",""
